A	B	transcriptA69621		absent_transcript	0	geneA6621	geneB24592	;category:j;
A	B	transcriptA95366		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA15828		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA18120		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA31089		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA79044		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA102741		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA130496		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA111864		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA37949		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA68208		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA59254		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA89268		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:n;
A	B	transcriptA125958		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA130699		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA82817		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA85630		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA93282		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA120346		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA124611		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA30271		gene_fusion	0	geneA6621	geneB24592;geneB24517	;category:j;
A	B	transcriptA72232		absent_transcript	0	geneA1479	geneB19992	;category:j;
A	B	transcriptA122777		absent_transcript	0	geneA255	geneB20099	;category:n;
A	B	transcriptA95776		absent_transcript	0	geneA255	geneB20099	;category:n;
A	B	transcriptA136976		absent_transcript	0	geneA1910	geneB20346	;category:j;
A	B	transcriptA73225		absent_transcript	0	geneA1910	geneB20346	;category:m;
A	B	transcriptA80437		absent_transcript	0	geneA1910	geneB20346	;category:n;
A	B	transcriptA130471		absent_transcript	0	transcriptA130471	geneB22128	;category:o;
A	B	transcriptA114158	transcriptB22398	unique_transcript	0	geneA4128	geneB22398	;category:=;
A	B	transcriptA32535		absent_transcript	0	geneA4704	geneB22860	;category:m;
A	B	transcriptA54249		absent_transcript	0	geneA4704	geneB22860	;category:n;
A	B	transcriptA120440		absent_transcript	0	geneA4704	geneB22860	;category:j;
A	B	transcriptA80210		absent_transcript	0	geneA4704	geneB22860	;category:m;
A	B	transcriptA132713		absent_transcript	0	geneA4704	geneB22860	;category:m;
A	B	transcriptA62123		absent_transcript	0	geneA4704	geneB22860	;category:m;
A	B	transcriptA12362		absent_transcript	0	geneA4704	geneB22860	;category:n;
A	B	transcriptA127101		absent_transcript	0	geneA4704	geneB22860	;category:j;
A	B	transcriptA20237		absent_transcript	0	geneA5016	geneB23174	;category:o;
A	B	transcriptA89692		absent_gene	0	transcriptA89692		;category:x;
A	B	transcriptA62769		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA100998	transcriptB17369	unique_transcript	0	geneA8280	geneB17369	;category:=;
A	B	transcriptA92590		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA123628		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA106588		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA58269		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA48598		absent_transcript	0	geneA8280	geneB17369	;category:n;
A	B	transcriptA117476		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA18586		absent_transcript	0	geneA8280	geneB17369	;category:j;
A	B	transcriptA31053		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA91987		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA60435		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA49148		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA46793		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA81709		absent_transcript	0	geneA7138	geneB16352	;category:j;
A	B	transcriptA58		absent_transcript	0	geneA8281	geneB17370	;category:j;
A	B	transcriptA46189		absent_transcript	0	geneA8281	geneB17370	;category:n;
A	B	transcriptA105958	transcriptB17370	unique_transcript	0	geneA8281	geneB17370	;category:=;
A	B	transcriptA137263		absent_transcript	0	geneA8281	geneB17370	;category:j;
A	B	transcriptA82794		absent_transcript	0	geneA8281	geneB17370	;category:j;
A	B	transcriptA67086		absent_transcript	0	transcriptA67086	geneB30316	;category:j;
A	B	transcriptA136549		absent_transcript	0	geneA13455	geneB31268	;category:e;
A	B	transcriptA125721		absent_transcript	0	geneA14599	geneB32138	;category:j;
A	B	transcriptA89058		absent_transcript	0	geneA14837	geneB32369	;category:j;
A	B	transcriptA136502	transcriptB32575	unique_transcript	0	geneA15083	geneB32575	;category:=;
A	B	transcriptA67550		absent_transcript	0	geneA11166	geneB29171	;category:m;
A	B	transcriptA55134		absent_transcript	0	geneA12402	geneB30273	;category:j;
A	B	transcriptA49152		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA86776		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA91395		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA21389		absent_transcript	0	geneA12428	geneB30318	;category:n;
A	B	transcriptA106732		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA109051		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA7049		absent_transcript	0	geneA12428	geneB30318	;category:n;
A	B	transcriptA64816		absent_transcript	0	geneA12428	geneB30318	;category:j;
A	B	transcriptA120829		absent_transcript	0	geneA12608	geneB30451	;category:j;
A	B	transcriptA28438		absent_transcript	0	geneA12607	geneB30451	;category:j;
A	B	transcriptA34069		absent_transcript	0	geneA12608	geneB30451	;category:j;
A	B	transcriptA63875		absent_transcript	0	geneA12607	geneB30451	;category:n;
A	B	transcriptA112888		absent_transcript	0	geneA12607	geneB30451	;category:j;
A	B	transcriptA67902		gene_fusion	0	geneA14325	geneB31947;geneB31948	;category:j;
A	B	transcriptA36533		absent_transcript	0	geneA14565	geneB32119	;category:n;
A	B	transcriptA28613		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:n;
A	B	transcriptA135746		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:n;
A	B	transcriptA8352		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA126200		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA139610		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA86515		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
