A	B	transcriptA125721		absent_transcript	0	geneA14599	geneB32138	
A	B	transcriptA89058		absent_transcript	0	geneA14837	geneB32369	
A	B	transcriptA136502	transcriptB32575	unique_transcript	0	geneA15083	geneB32575	
A	B	transcriptA67550		absent_transcript	0	geneA11166	geneB29171	
A	B	transcriptA55134		absent_transcript	0	geneA12402	geneB30273	
A	B	transcriptA49152		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA86776		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA91395		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA21389		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA106732		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA109051		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA7049		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA64816		absent_transcript	0	geneA12428	geneB30318	
A	B	transcriptA120829		absent_transcript	0	geneA12608	geneB30451	
A	B	transcriptA28438		absent_transcript	0	geneA12607	geneB30451	
A	B	transcriptA34069		absent_transcript	0	geneA12608	geneB30451	
A	B	transcriptA63875		absent_transcript	0	geneA12607	geneB30451	
A	B	transcriptA112888		absent_transcript	0	geneA12607	geneB30451	
A	B	transcriptA67902		gene_fusion	0	geneA14325	geneB31947;geneB31948	
A	B	transcriptA36533		absent_transcript	0	geneA14565	geneB32119	
A	B	transcriptA28613		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA135746		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA8352		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA126200		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA139610		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA86515		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA99865		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA78507		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA7588		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA91831		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA120455		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA136206		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA125712		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA74121		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	
A	B	transcriptA107322		absent_transcript	0	geneA14875	geneB32395	
A	B	transcriptA106496		absent_transcript	0	geneA14875	geneB32395	
A	B	transcriptA29832		absent_transcript	0	geneA14875	geneB32395	
A	B	transcriptA74008		absent_transcript	0	geneA14875	geneB32395	
A	B	transcriptA134800		absent_transcript	0	geneA14875	geneB32395	
A	B	transcriptA52049	transcriptB32395	unique_transcript	0	geneA14875	geneB32395	
A	B	transcriptA35846	transcriptB32445	unique_transcript	0	geneA14953	geneB32445	
A	B	transcriptA52465		absent_transcript	0	geneA14953	geneB32445	
A	B	transcriptA15961		absent_transcript	0	geneA14953	geneB32445	
A	B	transcriptA24994		absent_transcript	0	geneA15082	geneB32576	
A	B	transcriptA27497		absent_transcript	0	geneA17350	geneB1789	
A	B	transcriptA55881		absent_transcript	0	geneA17350	geneB1789	
A	B	transcriptA95178		absent_transcript	0	geneA17350	geneB1789	
